rank,highway_length,highway_nodes,highway_tuple,occurrence_count,pct_of_paths,pct_of_paths_min_length,unique_communities_spanned
1,2,ConservativeKiwi → CapeIndependence,"('ConservativeKiwi', 'CapeIndependence')",22,8.7,100.0,2
2,2,2islamist4you → Afghan,"('2islamist4you', 'Afghan')",21,8.3,100.0,2
3,2,Barber → BeardAdvice,"('Barber', 'BeardAdvice')",20,7.91,100.0,2
4,2,90DayFiance → Celebrity_Fantasies2,"('90DayFiance', 'Celebrity_Fantasies2')",18,7.11,100.0,2
5,2,BlackHair → Barber,"('BlackHair', 'Barber')",17,6.72,100.0,1
6,2,Athleta_gap → BlackestFridayDeals,"('Athleta_gap', 'BlackestFridayDeals')",16,6.32,100.0,2
7,2,BlackestFridayDeals → BestThings,"('BlackestFridayDeals', 'BestThings')",16,6.32,100.0,1
8,2,Aliexpress → Buyee,"('Aliexpress', 'Buyee')",15,5.93,100.0,2
9,2,Buyee → AmazonSeller,"('Buyee', 'AmazonSeller')",15,5.93,100.0,1
10,2,CatholicMemes → BibleVerseCommentary,"('CatholicMemes', 'BibleVerseCommentary')",14,5.53,100.0,2
11,2,AimeLeonDore → Athleta_gap,"('AimeLeonDore', 'Athleta_gap')",14,5.53,100.0,1
12,2,AusMemes → ConservativeKiwi,"('AusMemes', 'ConservativeKiwi')",14,5.53,100.0,1
13,2,420 → Cannabis_Culture,"('420', 'Cannabis_Culture')",12,4.74,100.0,2
14,2,AmazonWFShoppers → Aliexpress,"('AmazonWFShoppers', 'Aliexpress')",12,4.74,100.0,1
15,2,ButchSelfies → BlackHair,"('ButchSelfies', 'BlackHair')",12,4.74,100.0,1
16,2,CelebsARG_ → BundaBoa,"('CelebsARG_', 'BundaBoa')",11,4.35,100.0,1
17,2,AvPD → BPDmemes,"('AvPD', 'BPDmemes')",11,4.35,100.0,2
18,2,BundaBoa → CelebsARG_,"('BundaBoa', 'CelebsARG_')",11,4.35,100.0,1
19,2,CelebsARG_ → Cholansfw,"('CelebsARG_', 'Cholansfw')",11,4.35,100.0,2
20,2,Cholansfw → CelebsARG_,"('Cholansfw', 'CelebsARG_')",10,3.95,100.0,2
1,3,BlackHair → Barber → BeardAdvice,"('BlackHair', 'Barber', 'BeardAdvice')",17,7.0,96.05,2
2,3,Athleta_gap → BlackestFridayDeals → BestThings,"('Athleta_gap', 'BlackestFridayDeals', 'BestThings')",16,6.58,96.05,2
3,3,Aliexpress → Buyee → AmazonSeller,"('Aliexpress', 'Buyee', 'AmazonSeller')",15,6.17,96.05,2
4,3,AimeLeonDore → Athleta_gap → BlackestFridayDeals,"('AimeLeonDore', 'Athleta_gap', 'BlackestFridayDeals')",14,5.76,96.05,2
5,3,AusMemes → ConservativeKiwi → CapeIndependence,"('AusMemes', 'ConservativeKiwi', 'CapeIndependence')",14,5.76,96.05,2
6,3,AmazonWFShoppers → Aliexpress → Buyee,"('AmazonWFShoppers', 'Aliexpress', 'Buyee')",12,4.94,96.05,2
7,3,ButchSelfies → BlackHair → Barber,"('ButchSelfies', 'BlackHair', 'Barber')",12,4.94,96.05,1
8,3,BundaBoa → CelebsARG_ → Cholansfw,"('BundaBoa', 'CelebsARG_', 'Cholansfw')",11,4.53,96.05,2
9,3,Cholansfw → CelebsARG_ → BundaBoa,"('Cholansfw', 'CelebsARG_', 'BundaBoa')",10,4.12,96.05,2
10,3,90dayfianceuncensored → 90DayFiance → Celebrity_Fantasies2,"('90dayfianceuncensored', '90DayFiance', 'Celebrity_Fantasies2')",10,4.12,96.05,2
